customer_id,customer_type,first_name,last_name,business_name,email,phone,date_of_birth,registration_date,status,address,country
257,business,NULL,NULL,"Stephens Ltd",robert77@example.com,783.967.3925x429,NULL,"2025-08-03 23:52:27",active,NULL,Mali
258,business,NULL,NULL,Alvarado-Rivera,hernandezchristine@example.org,(784)496-6563x9773,NULL,"2025-08-03 23:52:27",active,NULL,Ukraine
259,individual,Sarah,Johnson,NULL,bryan67@example.net,+1-298-704-5807x35901,1964-08-22,"2025-08-03 23:52:27",active,NULL,Mongolia
260,business,NULL,NULL,Myers-Bell,pierceelizabeth@example.net,+1-988-946-0373x86320,NULL,"2025-08-03 23:52:27",active,NULL,Lesotho
261,individual,Jonathon,Moreno,NULL,tsellers@example.com,+1-734-223-0619,1976-08-20,"2025-08-03 23:52:27",active,NULL,Vanuatu
262,individual,Lisa,Simpson,NULL,ghoward@example.com,+1-304-692-8010x4464,1970-11-01,"2025-08-03 23:52:27",active,NULL,Turkey
263,individual,Rachel,Perez,NULL,owilson@example.org,(418)222-0175x59656,1978-02-13,"2025-08-03 23:52:27",active,NULL,"Libyan Arab Jamahiriya"
264,business,NULL,NULL,Landry-Chapman,timothychavez@example.net,001-873-843-9211x4941,NULL,"2025-08-03 23:52:27",active,NULL,Algeria
265,individual,Nicholas,Molina,NULL,mmorrison@example.com,458.298.7512,1964-12-23,"2025-08-03 23:52:27",active,NULL,"American Samoa"
266,individual,Clifford,Bennett,NULL,annmckinney@example.net,513.722.9035,1959-10-31,"2025-08-03 23:52:27",active,NULL,"New Caledonia"
267,business,NULL,NULL,"King, Thompson and Moore",veronicaalvarado@example.com,293-830-5785x824,NULL,"2025-08-03 23:52:27",active,NULL,"Antarctica (the territory South of 60 deg S)"
268,individual,Kayla,Gomez,NULL,millerkathryn@example.com,+1-983-570-2322x618,2000-09-20,"2025-08-03 23:52:27",active,NULL,"Bouvet Island (Bouvetoya)"
269,business,NULL,NULL,Jefferson-Green,ashley88@example.org,+1-819-900-6320x6711,NULL,"2025-08-03 23:52:27",active,NULL,Djibouti
270,business,NULL,NULL,Hunter-Hill,badams@example.net,582.931.6515x11672,NULL,"2025-08-03 23:52:27",active,NULL,Turkey
271,individual,Joan,Ramirez,NULL,jason06@example.org,(241)542-4266x91769,1967-03-13,"2025-08-03 23:52:27",active,NULL,Cuba
272,business,NULL,NULL,Orozco-Jordan,pbrooks@example.net,844-346-0536,NULL,"2025-08-03 23:52:27",active,NULL,Albania
273,business,NULL,NULL,"Turner and Sons",karenrodriguez@example.com,001-743-939-5498x056,NULL,"2025-08-03 23:52:27",active,NULL,Serbia
274,individual,Michael,Morris,NULL,sheila72@example.net,+1-969-843-7069x66746,1956-07-03,"2025-08-03 23:52:27",active,NULL,Liechtenstein
275,individual,Courtney,Bailey,NULL,rachelhancock@example.net,+1-560-291-9678x560,1970-08-10,"2025-08-03 23:52:27",active,NULL,Bulgaria
276,business,NULL,NULL,Davis-Hutchinson,michaelwilliams@example.org,001-536-735-2242x2015,NULL,"2025-08-03 23:52:27",active,NULL,Liechtenstein
277,individual,Carla,Curtis,NULL,harriscynthia@example.com,+1-224-512-6663,1952-08-03,"2025-08-03 23:52:27",active,NULL,Argentina
278,business,NULL,NULL,"Meyers and Sons",nlong@example.net,001-631-662-2085,NULL,"2025-08-03 23:52:27",active,NULL,"Sao Tome and Principe"
